Nom du jeu;Plateforme;Studio de développement;Date de sortie
On the Ball;Super Nintendo;Taito;1992
Operation Logic Bomb;Super Nintendo;Jaleco;1993
Oscar;Super Nintendo;Flair Software;12/1996
Outlander;Super Nintendo;Mindscape;1993
Pac-Attack;Super Nintendo;Namco;1993
Pac-In-Time;Super Nintendo;Kalisto Entertainment;01/1995
Pac-Man 2: The New Adventures;Super Nintendo;Namco;1994
Paperboy 2;Super Nintendo;Eastridge Technology;1992
Parodius;Super Nintendo;Konami;1992
PGA European Tour;Super Nintendo;Electronic Arts;12/1996
PGA Tour 96;Super Nintendo;Electronic Arts;1996
PGA Tour Golf;Super Nintendo;Polygames;1992
Phalanx;Super Nintendo;Kemco;1992
Phantom 2040;Super Nintendo;Viacom New Media;11/1995
Pierre le Chef is... Out to Lunch;Super Nintendo;Mindscape;09/1993
Pilotwings;Super Nintendo;Nintendo EAD;1992
Pinball Dreams;Super Nintendo;Spidersoft;25/08/1994
Pinball Fantasies;Super Nintendo;Spidersoft;02/1995
Pink Goes to Hollywood;Super Nintendo;Manley & Associates;1993
Pinocchio;Super Nintendo;Virgin Interactive Entertainment;28/11/1996
Pit-Fighter;Super Nintendo;Eastridge Technology;1992
Pitfall: The Mayan Adventure;Super Nintendo;Redline Games;12/1994
Plok;Super Nintendo;Software Creations;01/12/1993
Pocky & Rocky;Super Nintendo;Natsume Co., Ltd.;19/08/1993
Pocky & Rocky 2;Super Nintendo;Natsume Co., Ltd.;04/1995
Pop'n TwinBee;Super Nintendo;Konami;11/1993
Pop'n TwinBee: Rainbow Bell Adventures;Super Nintendo;Konami;1994
Populous;Super Nintendo;Infinity Co., Ltd;1992
Populous II: Trials of the Olympian Gods;Super Nintendo;Infinity Co., Ltd;1993
Porky Pig's Haunted Holiday;Super Nintendo;Phoenix Interactive Entertainment;11/1995
Power Drive;Super Nintendo;Rage Software;11/1994
Power Moves;Super Nintendo;System Vision;04/10/1993
Power Piggs of the Dark Age;Super Nintendo;Radical Entertainment;29/09/1997
Powermonger;Super Nintendo;Bullfrog Productions;1993
Prehistorik Man;Super Nintendo;Titus Software;27/06/1996
Primal Rage;Super Nintendo;Bitmasters;25/08/1995
Prince of Persia;Super Nintendo;Arsys Software;01/11/1992
Prince of Persia 2: The Shadow and the Flame;Super Nintendo;Titus Software;1996
Push-Over;Super Nintendo;Red Rat Software;1992
Putty Squad;Super Nintendo;System 3;1994
Puzzle Bobble: Bust-a-Move;Super Nintendo;Taito;1995
R-Type III: The Third Lightning;Super Nintendo;Tamtex;1994
Race Drivin';Super Nintendo;Imagineering;01/10/1992
Radical Rex;Super Nintendo;Beam Software;09/1994
Ranma ½;Super Nintendo;Atelier Double;12/11/1993
Realm;Super Nintendo;Titus Software;27/02/1996
Revolution X;Super Nintendo;Rage Software;1995
Rise of the Robots;Super Nintendo;Data Design Interactive;01/1995
Rival Turf!;Super Nintendo;Jaleco;1993
Road Riot 4WD;Super Nintendo;Equilibrium;1992
RoboCop 3;Super Nintendo;Ocean Software;11/1992
RoboCop Versus The Terminator;Super Nintendo;Interplay Entertainment;24/08/1993
Rock n' Roll Racing;Super Nintendo;Silicon & Synapse;31/03/1994
Run Saber;Super Nintendo;Hori Electric;11/1993
Sailor Moon;Super Nintendo;Angel;11/1994
Samurai Shodown;Super Nintendo;Takara;1994
Saturday Night Slam Masters;Super Nintendo;Capcom;09/1994
SeaQuest DSV;Super Nintendo;Sculptured Software;27/07/1995
Secret of Evermore;Super Nintendo;Square;22/02/1996
Secret of Mana;Super Nintendo;Square;25/11/1994
Sensible Soccer: European Champions;Super Nintendo;Sensible Software;02/1994
Shadowrun;Super Nintendo;Beam Software;08/1993
Shanghai II: Dragon's Eye;Super Nintendo;Hot-B;1993
Shaq Fu;Super Nintendo;Delphine Software International;28/10/1994
Side Pocket;Super Nintendo;Iguana Entertainment;1994
SimCity;Super Nintendo;Nintendo EAD / Intelligent Systems;24/09/1992
SimCity 2000;Super Nintendo;HAL Laboratory;19/12/1996
Sink or Swim;Super Nintendo;Zeppelin Games;31/12/1994
Skyblazer;Super Nintendo;Ukiyotei;25/03/1994
Smash Tennis;Super Nintendo;Namco;1994
Soccer Kid;Super Nintendo;Krisalis Software;06/1994
Soccer Shootout;Super Nintendo;A-Max;1994
Sonic Blast Man;Super Nintendo;I.T.L / Zuntata;1993
Soul Blazer;Super Nintendo;Quintet;27/01/1994
Space Ace;Super Nintendo;Oxford Digital Enterprises;1994
Space Invaders;Super Nintendo;Taito;1997
Space Megaforce;Super Nintendo;Compile;1992
Spanky's Quest;Super Nintendo;Natsume Co., Ltd.;1992
Sparkster;Super Nintendo;Konami;1994
Spectre;Super Nintendo;Synergistic Software;07/1994
Speedy Gonzales: Los Gatos Bandidos;Super Nintendo;Sunsoft;Cancelled
Spider-Man;Super Nintendo;Western Technologies;03/1995
Spider-Man and the X-Men in Arcade's Revenge;Super Nintendo;Software Creations;19/08/1993
Spider-Man and Venom: Maximum Carnage;Super Nintendo;Software Creations;24/11/1994
Spindizzy Worlds;Super Nintendo;ASCII Entertainment;1992
Spirou;Super Nintendo;Infogrames;29/09/1995
Star Trek: Deep Space Nine – Crossroads of Time;Super Nintendo;Novotrade;1995
Star Trek: Starfleet Academy - Starship Bridge Simulator;Super Nintendo;Interplay Entertainment;1994
Star Trek: The Next Generation – Future's Past;Super Nintendo;Spectrum HoloByte;1994
Stargate;Super Nintendo;Tantalus Interactive;29/06/1995
Starwing;Super Nintendo;Nintendo EAD / Argonaut Software;03/06/1993
Street Combat;Super Nintendo;NCS Corp / Opus / Winds;07/1993
Street Fighter Alpha 2;Super Nintendo;Capcom;19/12/1996
Street Fighter II Turbo: Hyper Fighting;Super Nintendo;Capcom;10/1993
Street Fighter II: The World Warrior;Super Nintendo;Capcom;05/10/1992
Street Racer;Super Nintendo;Vivid Image;08/12/1994
Striker;Super Nintendo;Rage Software;10/1993
Stunt Race FX;Super Nintendo;Nintendo EAD / Argonaut Software;27/10/1994
Sunset Riders;Super Nintendo;Konami;10/1993
Super Adventure Island;Super Nintendo;Produce;19/11/1992
Super Adventure Island II;Super Nintendo;Make;03/1995
Super B.C. Kid;Super Nintendo;A.I. Company Ltd.;1995
Super Battleship;Super Nintendo;World Builders Synergistic;1994
Super Battletank 2;Super Nintendo;Absolute Entertainment;08/08/1994
Super BattletankJP;Super Nintendo;Imagineering;18/03/1993
Super Bomberman;Super Nintendo;Produce;20/11/1993
Super Bomberman 2;Super Nintendo;Produce;11/1994
Super Bomberman 3;Super Nintendo;Hudson Soft;10/1995
Super Buster Bros.;Super Nintendo;Capcom;1992
Super Castlevania IV;Super Nintendo;Konami;27/08/1992
Super Chase H.Q.;Super Nintendo;Taito;1993
Super Conflict;Super Nintendo;Manley & Associates;1994
Super Dany;Super Nintendo;Cryo Interactive;1994
Super Double Dragon;Super Nintendo;Technōs Japan;30/09/1993
